name,gender
DATANAMES,
Name,gender
aaban,male
aabid,male
aadil,male
aahil,male
aalam,male
aalee,male
aalim,male
aamil,male
aamir,male
aaqib,male
aaqil,male
aarif,male
aariz,male
aaryan,male
aashif,male
aashir,male
aasif,male
aasim,male
aatif,male
aaus,male
aayan,male
aazim,male
abaan,male
abbas,male
abbud,male
abbudin,male
abdal,male
abdalala,male
abdel,male
abdul,male
abdulaalee,male
abduladheem,male
abduladl,male
abdulafuw,male
abdulahad,male
abdulaleem,male
abdulalim,male
abdulaliyy,male
abdulawwal,male
abdulazeez,male
abdulazim,male
abdulaziz,male
abdulbaaqi,male
abdulbaari,male
abdulbaasit,male
abdulbadee,male
abdulbadi,male
abdulbaith,male
abdulbaqi,male
abdulbari,male
abdulbarr,male
abdulbaseer,male
abdulbasir,male
abdulbasit,male
abdulbatin,male
abduldhahir,male
abdulfattah,male
abdulghafaar,male
abdulghaffar,male
abdulghafoor,male
abdulghafur,male
abdulghani,male
abdulhadi,male
abdulhafeedh,male
abdulhafeez,male
abdulhafiz,male
abdulhakam,male
abdulhakeem,male
abdulhakim,male
abdulhaleem,male
abdulhalim,male
abdulhameed,male
abdulhamid,male
abdulhannan,male
abdulhaq,male
abdulhaqq,male
abdulhaseeb,male
abdulhasib,male
abdulhayy,male
abduljabaar,male
abduljabbar,male
abduljaleel,male
abduljalil,male
abduljawwad,male
abdulkabir,male
abdulkareem,male
abdulkarim,male
abdulkhabir,male
abdulkhaliq,male
abdullah,male
abdullateef,male
abdullatif,male
abdulmaajid,male
abdulmaalik,male
abdulmajeed,male
abdulmajid,male
abdulmalik,male
abdulmani,male
abdulmannan,male
abdulmateen,male
abdulmatin,male
abdulmubdee,male
abdulmubdi,male
abdulmueed,male
abdulmueid,male
abdulmughni,male
abdulmuhaimin,male
abdulmuhaymin,male
abdulmuhsi,male
abdulmuhsin,male
abdulmuhyee,male
abdulmuhyi,male
abdulmuid,male
abdulmuiz,male
abdulmuizz,male
abdulmujeeb,male
abdulmujib,male
abdulmumin,male
abdulmunim,male
abdulmuntaqim,male
abdulmuqaddim,male
abdulmuqeet,male
abdulmuqsit,male
abdulmuqtadir,male
abdulmusawwir,male
abdulmutaal,male
abdulmutaalee,male
abdulmuti,male
abdulmuzanni,male
abdulnafi,male
abdulnaseer,male
abdulnasir,male
abdulnasser,male
abdulnoor,male
abdulnur,male
abdulqaadir,male
abdulqadeer,male
abdulqadir,male
abdulqahaar,male
abdulqahhar,male
abdulqaiyoum,male
abdulqawi,male
abdulqayyum,male
abdulquddus,male
abdulqudoos,male
abdulraafi,male
abdulrabb,male
abdulrafi,male
abdulraheem,male
abdulrahim,male
abdulrahman,male
abdulraqib,male
abdulrasheed,male
abdulrashid,male
abdulrauf,male
abdulrazzaq,male
abdulsabur,male
abdulsalam,male
abdulsamad,male
abdulsami,male
abdulsattar,male
abdulshahid,male
abdulshakur,male
abdultawwab,male
abdulwaajid,male
abdulwaali,male
abdulwadood,male
abdulwadud,male
abdulwahhab,male
abdulwahid,male
abdulwajid,male
abdulwakil,male
abdulwali,male
abdulwaliy,male
abdulwarith,male
abdulwasi,male
abdulzahir,male
abdurraheem,male
abdurrahman,male
abdurraqeeb,male
abdurrasheed,male
abdurrashid,male
abdurrauf,male
abdurrazzaq,male
abdus,male
abdushshahid,male
abdussabour,male
abdussabur,male
abdussalaam,male
abdussamad,male
abdussameei,male
abdussami,male
abdussattar,male
abdusshafi,male
abdusshaheed,male
abdusshakur,male
abdussubbooh,male
abid,male
abidin,male
abisali,male
abrad,male
abrar,male
abrash,male
absi,male
abthi,male
abualkhayr,male
abubakr,male
abulhassan,male
abyad,male
abyan,male
abzari,male
adam,male
adan,male
adawi,male
adbulqawi,male
adeeb,male
adeel,male
adeem,male
adel,male
adham,male
adheem,male
adib,male
adil,male
adiy,male
adl,male
adli,male
adnan,male
aduzzahir,male
adyan,male
afaaq,male
afeef,male
affan,male
afham,male
afif,male
afiq,male
aflah,male
afraz,male
afruz,male
aftaab,male
aftab,male
afzal,male
agharr,male
ahab,male
ahad,male
ahmad,male
ahmar,male
ahmed,male
ahnaf,male
ahsan,male
ahwas,male
ahyan,male
ahzab,male
aidan,male
aidh,male
aijaz,male
aiman,male
aizat,male
ajer,male
ajib,male
ajlah,male
ajmal,male
akbar,male
akdas,male
akeem,male
akhas,male
akhdan,male
akhfash,male
akhlaq,male
akhtar,male
akif,male
akil,male
akmal,male
akram,male
ala,male
alaaldin,male
alabbas,male
aladdin,male
albara,male
alhakam,male
alharith,male
alhasan,male
alhusain,male
alhusayn,male
ali,male
alim,male
aliyy,male
almahdi,male
alman,male
almir,male
alsafi,male
altaf,male
altair,male
altamash,male
altayyib,male
altijani,male
altufail,male
altufayl,male
amaan,male
amaar,male
amam,male
amayr,male
ameen,male
